date,name,lat_mean,lat_std,long_mean,long_std,cmd_mean,cmd_std,n,reliable
1813-07-29,t,12.62,0.66,134.86,0.25,-23.41,0.29,2,TRUE
1813-08-02,t,12.22,1.69,153.76,1.27,45.69,1.37,2,TRUE
1813-08-03,t,12.28,0.69,152.08,0.21,57.32,0.10,2,TRUE
1813-09-26,t_1,-10.88,0.79,136.63,1.32,36.97,1.29,2,TRUE
1813-09-26,t_2,13.69,0.45,84.10,0.59,-15.56,0.56,2,TRUE
1813-09-28,t_2,11.92,,82.61,,10.22,,1,TRUE
1813-10-02,t_2,13.29,0.00,85.43,0.06,66.03,0.00,2,TRUE
1813-10-09,t_1,10.17,0.84,2.90,2.77,75.40,2.83,2,FALSE
1813-10-09,t_2,-12.51,0.00,321.50,0.06,34.00,0.00,2,FALSE
1813-12-12,t,5.99,0.84,97.83,0.75,-66.07,0.68,3,FALSE
1815-06-10,t,-26.52,0.90,128.79,1.69,-42.62,1.73,3,FALSE
1816-07-04,t_m,1.56,0.00,8.52,0.10,-53.90,0.00,2,TRUE
1816-07-06,t_m,1.41,0.61,10.45,0.29,-25.77,0.35,2,TRUE
1816-07-13,t,3.65,0.52,14.86,1.09,71.41,1.18,2,TRUE
1816-10-05,t_1,-10.79,1.11,235.09,0.72,-39.07,0.67,3,TRUE
1816-10-05,t_2,-8.98,0.17,222.90,0.75,-51.26,0.71,3,TRUE
1816-10-08,t_1,-10.62,0.73,236.56,0.09,1.87,0.00,2,TRUE
1816-10-08,t_2,-9.06,0.72,225.33,0.07,-9.36,0.02,2,TRUE
1816-10-10,t_1,-8.16,1.03,235.18,1.39,26.72,1.38,3,TRUE
1816-10-10,t_2,-8.25,1.02,223.50,0.03,15.05,0.04,3,TRUE
1816-10-11,t_1,-9.06,1.88,234.26,1.84,39.03,1.94,2,TRUE
1816-10-11,t_2,-7.47,1.91,224.46,1.70,29.23,1.79,2,TRUE
1816-10-12,t_1,-8.92,0.35,236.45,0.78,54.13,0.89,2,TRUE
1816-10-12,t_2,-7.96,0.34,225.42,0.71,43.10,0.82,2,TRUE
1816-10-13,t_1,-9.53,1.48,234.26,0.67,66.44,0.57,2,TRUE
1816-10-13,t_2,-8.20,0.00,223.89,0.09,56.07,0.00,2,TRUE
1816-10-14,t_2,-8.05,0.00,223.59,0.09,67.94,0.00,2,TRUE
1816-10-15,t_3,11.84,1.14,127.63,0.59,-14.53,0.52,2,TRUE
1816-10-15,t_4,11.33,0.44,120.90,0.64,-21.26,0.57,2,TRUE
1816-10-17,t_3,11.31,0.70,127.70,0.06,11.86,0.03,2,TRUE
1816-10-17,t_4,10.30,1.12,120.77,0.67,4.94,0.58,2,TRUE
1816-10-19,t_3,9.69,0.00,126.06,0.03,36.52,0.00,2,TRUE
1816-10-19,t_4,10.63,0.39,120.86,0.73,31.32,0.71,2,TRUE
1816-10-20,t_3,10.11,0.72,125.99,1.81,49.78,1.90,2,TRUE
1816-10-21,t_3,9.17,,124.26,,60.76,,1,TRUE
1816-10-22,t_3,9.20,0.55,122.78,0.24,72.93,0.28,3,TRUE
1816-10-22,t_5,3.94,0.82,336.62,2.52,-73.22,2.54,3,TRUE
1816-10-24,t_5,3.61,0.69,341.13,0.15,-42.86,0.05,2,TRUE
1816-11-16,t,7.08,0.84,9.48,4.31,-71.14,4.36,2,TRUE
1816-11-17,t,8.26,,6.64,,-61.48,,1,TRUE
1816-11-18,t,7.86,0.46,5.52,0.73,-48.98,0.66,2,TRUE
1816-11-19,t_1,7.98,0.64,6.31,0.19,-36.38,0.16,2,TRUE
1816-11-20,t,7.83,0.46,5.60,0.58,-22.29,0.49,2,TRUE
1816-11-21,t,10.05,1.49,8.36,1.59,-6.59,1.53,3,TRUE
1816-11-26,t,-2.14,0.49,6.40,0.78,57.75,0.89,2,TRUE
1816-11-27,t,-2.13,0.39,6.02,1.15,70.30,1.15,3,TRUE
1816-12-17,t,-1.48,0.09,5.37,0.51,-26.55,0.56,3,TRUE
1816-12-18,t,-0.45,1.81,7.10,0.36,-11.80,0.31,3,TRUE
1816-12-20,t,-2.82,0.06,9.05,0.59,16.72,0.53,3,TRUE
1816-12-21,t,-2.42,0.83,10.38,0.58,30.71,0.62,3,TRUE
1816-12-23,t,-3.07,0.66,13.58,1.70,60.25,1.80,2,TRUE
1816-12-24,t,-2.72,0.87,22.58,1.76,83.01,1.71,4,TRUE
1817-01-10,t,-0.52,0.43,180.89,206.49,-74.87,1.56,4,FALSE
1817-02-28,t,20.55,0.56,122.13,0.38,-27.89,0.41,6,FALSE
1824-09-19,t,34.33,0.56,12.49,0.97,-67.26,0.99,3,TRUE
1824-09-20,t,33.20,0.23,13.59,0.46,-53.09,0.39,4,TRUE
1824-09-23,t,34.64,0.40,12.20,0.34,-14.91,0.41,3,TRUE
1824-09-25,t,34.53,1.48,10.88,0.44,10.12,0.44,3,TRUE
1824-09-26,t,34.33,1.23,11.26,1.15,23.83,1.12,2,TRUE
1824-09-27,t,32.52,1.14,9.85,0.33,35.54,0.27,3,TRUE
1824-09-29,t,34.68,0.87,9.94,1.41,61.97,1.53,2,TRUE
1824-10-21,t,21.86,0.88,336.75,0.78,-39.36,0.75,4,TRUE
1824-10-26,t,21.30,1.28,336.96,1.65,26.93,1.76,2,TRUE
1824-10-29,t_new,23.65,2.85,341.95,1.91,71.15,1.86,2,TRUE
1824-10-29,t_old,-19.87,,214.80,,-55.97,,1,FALSE
1825-01-27,t,8.64,0.52,197.21,0.56,31.18,0.53,3,FALSE
1825-09-19,t,-21.47,,268.38,,-32.30,,1,TRUE
1825-09-20,t,-20.67,1.66,267.66,0.58,-19.84,0.64,3,TRUE
1827-02-23,t1,16.83,,224.28,,-30.15,,1,FALSE
1827-02-25,t1,-8.03,0.84,237.17,1.32,8.06,1.37,2,FALSE
1827-02-25,t2,-20.59,0.06,241.18,0.45,12.07,0.39,2,FALSE
1827-02-25,t3,-11.17,0.09,190.00,0.59,-39.11,0.65,2,FALSE
1827-02-26,t3,-9.83,0.90,192.19,1.71,-23.60,1.70,4,FALSE
1827-02-28,t3,-16.95,1.94,193.66,0.53,4.16,0.57,6,FALSE
1827-03-06,t3,17.04,2.81,105.86,0.69,-4.70,0.66,2,FALSE
1827-03-07,t3,16.26,1.66,104.40,1.59,8.17,1.53,4,TRUE
1830-03-21,t,7.81,0.08,171.28,0.20,-33.94,0.16,2,TRUE
1830-03-22,t,9.13,0.62,170.79,1.03,-21.28,1.00,4,TRUE
1830-03-24,t,8.60,0.46,170.63,0.84,4.85,0.85,5,TRUE
1830-03-25,t,9.80,1.52,172.32,0.43,19.78,0.53,2,TRUE
1830-03-26,t,8.00,,173.15,,33.45,,1,TRUE
1830-06-30,t,8.87,1.33,318.51,0.74,7.98,0.71,6,TRUE
1830-07-02,t,13.62,2.68,318.10,0.69,33.97,0.65,7,TRUE
1830-07-30,t,14.53,0.56,313.96,0.78,40.56,0.79,3,TRUE
1830-07-31,t,14.56,,312.65,,52.54,,1,TRUE
1830-09-27,t,3.30,,232.95,,17.02,,1,FALSE
1830-09-30,t,-15.89,2.96,195.13,0.46,18.84,0.52,4,FALSE
1830-10-03,t,-10.88,0.57,95.73,0.59,-40.94,0.61,4,TRUE
1830-10-04,t,-11.44,1.09,94.50,1.48,-29.03,1.50,4,TRUE
1830-10-06,t,-11.25,1.13,96.49,1.26,-0.68,1.24,5,TRUE
1830-10-07,t,-10.87,0.52,96.32,1.02,12.38,1.01,6,TRUE
1830-10-09,t,-9.74,0.70,96.91,0.41,39.32,0.39,4,TRUE
1830-10-10,t,-10.71,0.49,96.68,0.16,52.25,0.19,4,TRUE
1830-10-11,t,-10.39,0.79,97.50,2.26,66.28,2.28,6,TRUE
1830-10-13,t,17.86,0.65,314.61,0.65,-50.22,0.65,4,FALSE
